seller_id,expected_deliver_diff_mean,expected_deliver_diff_count,order_shipped_days_mean,order_shipped_days_count
df683dfda87bf71ac3fc63063fba369d,-168,1,3,1
e09887ca8c7bf8a4621ce481820414ef,-42,2,54.5,2
8e670472e453ba34a379331513d6aab1,-36,1,61,1
4fb41dff7c50136976d1a5cf004a42e2,-34,3,2.333333333,3
8629a7efec1aab257e58cda559f03ba7,-34,1,25,1
6f1a1263039c76e68f40a8e536b1da6a,-32,2,17,2
eebb3372362aa9a46975164bed19a7e7,-28,4,7.5,4
391bbd13b6452244774beff1824006ed,-25,1,15,1
9b522ba7eae9e1d04082f267144583cc,-24.66666667,3,38.33333333,3
be1e9e378700cecaa4ebf71433d7915c,-24.5,2,4.5,2
586a871d4f1221763fddb6ceefdeb95e,-23,1,49,1
8c3b533c63cca56240f94f1e3a6b18ef,-19.5,2,32.5,2
427165bf50f8ca07efc7bdc2bfcf1688,-18.8,5,0.6,5
20d53aad4fe5ee93a64f8839609d3586,-18,1,1,1
2a50b7ee5aebecc6fd0ff9784a4747d6,-18,1,3,1
a154d7316f158bb42e6fa18bbe3afd3a,-17.5,2,4,2
6524b847b982cd56bb5d4b02b776ee42,-17,1,7,1
685b870da5b52a710782c9c0fefbeb5b,-17,2,8,2
6d04126aba80df143fd038e711b8fd96,-17,1,32,1
7a91bf945c6fae0779f1c61ce97fe45c,-17,4,6.25,4
c7b7db6c8f3c64a7cc1afa634db21d50,-17,1,1,1
c1f12f926d0ba950578b4fa41115cbb6,-16.5,2,4,2
c004e5ea15737026cecaee0447e00b75,-16,1,24,1
9c57bc60cfad5ee62d35d3f1ce4593a1,-15,1,28,1
ca5832c6960267b71041f74bb39e8b12,-15,1,29,1
20f0aeea30bc3b8c4420be8ced4226c0,-14,1,38,1
da2782c804606d2a5d8e1760dbb3e7ec,-14,1,8,1
ebef8d8c92b4fd3226e5d407bbff21ac,-13.66666667,3,0.666666667,3
4e42581f08e8cfc7c090f930bac4552a,-13,1,33,1
9bf11dfc0bec77e5a23028043c3c5a8f,-13,1,2,1
8d92f3ea807b89465643c219455e7369,-12.33333333,3,36.66666667,3
e83c76265fc54bf41eac728805e4da77,-11.25,8,1.5,8
781a66c0d89e30814d49fe8b5e14cd07,-11,1,14,1
d8dd176509baa37f359644d082bf7f7b,-11,2,8.5,2
cb41bfbcbda0aea354a834ab222f9a59,-10.54545455,11,7,11
327b89b872c14d1c0be7235ef4871685,-10,3,2.666666667,3
9ef932e837d8b7f392c0bfee9d359dc2,-10,1,1,1
7c462184585ae80bd6e5774c62ce50f2,-9,1,14,1
d1a5cc844736958c11b8efab9a2b4c87,-9,1,22,1
1b4b28463457a256e9a784ebe2a8f630,-8,1,13,1
51a04a8a6bdcb23deccc82b0b80742cf,-8,1,13,1
63704069d9bd3a75c1cf59babe56004a,-8,1,7,1
9b1f656ca3060f8af17a50d8a024b533,-8,1,0,1
633ecdf879b94b5337cca303328e4a25,-7.5,6,14.66666667,6
3da38366e7bd9baf6369071f782ecdf0,-7,1,23,1
9da15f4a4ea758d9eeb49000dbe57e22,-7,1,21,1
c13ef0cfbe42f190780f621ce81f2234,-7,1,19,1
b43d8b707f887a30f4675391098354a0,-6.5,2,1.5,2
e5bd51692380fd8cabb19b756b95e714,-6.5,2,24,2
1f2eebc0e970fd3c463e4f5d9652687a,-6,1,6,1
5ca5d579b5857ee8709479b1047cecc3,-6,1,12,1
791cfcfe22fe4a771ece27f90017da92,-6,1,7,1
80ceebb4ee9b31afb6c6a916a574a1e2,-6,1,8,1
312ba1d77e9c332ef21f9598b7f64cd7,-5.714285714,7,10.71428571,7
8759e7aedd644f487315e5860962f162,-5.666666667,3,3.666666667,3
244b04680fdbded0acf5aebd9c92b44a,-5.5,2,37,2
714b9a1332840f257b49f476bea4e341,-5.166666667,6,2.5,6
b1b3948701c5c72445495bd161b83a4c,-5.071428571,14,15.21428571,14
271b8923c6a549e02d3c9fd1f8c0422b,-5,1,8,1
5acd070dd3fe441bbb2ec1f1ede515ee,-5,7,1.142857143,7
72146da5774cabf2632faedcae097a76,-5,4,3.75,4
8e29d051f810eb22959ede205b462b9f,-5,2,1,2
bc8c8d665ec4664d286be0d521722b19,-5,1,6,1
bcd2d7510d58e293f20fad6438c1b314,-5,1,22,1
ebe3dabc4955c9b0d695e7bda38bf5c3,-5,1,8,1
edf3fabebcc20f7463cc9c53da932ea8,-5,1,1,1
19484c79cef6c062cb177aa4ef2fcc3c,-4,1,19,1
984c273121e743dd14767befe6cb17f5,-4,1,2,1
f524ad65d7e0f1daab730ef2d2e86196,-4,1,6,1
5d378b73ab7dd6f0418d743e5dcb0bd1,-3.833333333,6,24.5,6
95b293867b5862941c9cd74f756a3c68,-3.666666667,9,11.77777778,9
a435b009cd956ea60748b5cfbddf2e24,-3.666666667,3,8.333333333,3
1352e06ae67b410cdae0b2a22361167b,-3.5,2,17,2
b0b346d3a89f5eb4c2968af3f083cd43,-3.444444444,9,4.111111111,9
6219ba2359cfb97f2e38fd4c321eb309,-3.2,5,15.2,5
13d95f0f6f73943d4ceffad0fc2cd32c,-3,1,3,1
154bdf805377afea75a3bd158e9eab10,-3,1,1,1
d1aa1ec0839dcab73a6161130eb1f94a,-3,1,15,1
f22a247b79dd22ecd91dc8e3b2a1b07c,-2.625,8,0.125,8
2a1348e9addc1af5aaa619b1a3679d6b,-2.586956522,46,4.782608696,46
26e2c91ef821e1ff8985f408788fe35b,-2.5,12,2.416666667,12
578fa3a9cb6b6dceab39231ad59cdaca,-2.333333333,3,3.333333333,3
08cdbae123ff67ca4e36d9d641ce0119,-2.25,4,10.25,4
c611f4ce9ce875bcc063fa97fd4d7d12,-2,1,0,1
ec2e006556300a79a5a91e4876ab3a56,-2,2,11.5,2
efb628aa07c8ca93d7db0d85b91a4f5a,-2,1,6,1
f5fea3ffed6c2e889bab72705557c63a,-2,1,21,1
700f03c207639c22d933381ff60b35c2,-1.5,4,18.75,4
c42fd8e4d47dfb18ce5222f2dd7752f9,-1.428571429,7,13.57142857,7
fcf16b7a8697e559f0123190bb30177d,-1.333333333,3,1.333333333,3
04843805947f0fc584fc1969b6e50fe7,-1,1,8,1
05ca864204d09595ae591b93ea9cf93d,-1,1,4,1
2a73cba571d90c694b7caca072ccf6ce,-1,1,12,1
344223b2a90784f64136a8a5da012e7f,-1,1,5,1
535bf14f36346c7f59d87cece104d70c,-1,1,2,1
9ac75591b69c3402684b6ce0310f22ee,-1,1,1,1
bcc9dd23e2a8bd8267cf92b19304a1b9,-1,3,3,3
e88165a185134e13fdfc85d4fa654db8,-1,2,1,2
1782ce2db72c3dda627d5e7c898104e1,-0.777777778,9,1.555555556,9
44f091b5abab8018f682fce8124b85e5,-0.666666667,3,11,3
7b8e8ec35bad4b0ef7e3963650b0a87b,-0.6,5,1.4,5
4170f6a9367e6b5d6401d03ce6d54569,-0.5,4,15.25,4
85ecf03781da592876b7844acc1b729f,-0.5,2,1.5,2
17eea220a40cc0d2c0c5346379682398,-0.333333333,3,4.333333333,3
538caafddff204241cecbf3a02e6b3cf,-0.125,8,12.875,8
054694fa03fe82cec4b7551487331d74,-0.1,20,9.9,20
042573af89b6d931f672efaf789d8358,0,3,2,3
08061dc0fc165ed41288cc7acde738ee,0,4,8.25,4
324583d68897f5ddbaf38f6248322176,0,2,2.5,2
3d2400ac620cffa23ac81bd192f7f555,0,1,3,1
3dc69bf2c42f0568a5c4791ec3fd3745,0,1,0,1
43753b27d77860f1654aa72e251a7878,0,1,6,1
49f8d2ea7b718d0ce587d34207caf2b4,0,1,3,1
4dab98ca6cd6d3df586203cefd28a042,0,1,9,1
623ad9d0c1e14bb5464a8c72bff7b4af,0,1,2,1
9996ae921c50e8dff411ac69c0b4bb8b,0,1,7,1
c1552b1dab6e6f760950368ae61fb600,0,2,1.5,2
e9b6c33b71b67737693b4cfa68341c8d,0,1,8,1
038b75b729c8a9a04b0d07cba7eabe86,0.5,2,4,2
c8025364abeecb115431bf95c11a747f,0.5,2,2.5,2
c990d6cf976a5718aaedc539f383ab88,0.5,8,12.5,8
5f67c6082caacb26e431a7b17940cece,0.538461538,13,7.923076923,13
d8d9567d0bfb0bc7eb845a205ba42657,0.666666667,3,1,3
4e5725ba188db8252977a4f0227bd462,0.952380952,21,2.80952381,21
0dfbed20065e425d2eaefb101f9816c0,1,3,2.666666667,3
42d4b7e70819438f5ada61c965e92d7e,1,1,9,1
